work_context,role_seat,region,design_tools,code_in_workflow,anticipated_investment,vibe_coding_ratio,built_own_tool,ai_trust,blockers,workflow_shift,role_outlook,workflow_satisfaction
Mid-size in-house (101–999),Lead or principal,South Asia,"Replit, ChatGPT, Magic Patterns, MagicPath, Pencil.dev, Notion, Slack, Framer, FigJam",I use AI or no-code to generate code,"Agent workflows & automations, AI-generated coding, Manual coding",Occasionally,"No, but I want to",Exploration and brainstorming only,"AI output quality isn't reliable enough, Too many tools, unclear which to commit, Time to learn new tools",Consolidated into fewer tools,About the same,6.0
Mid-size in-house (101–999),Design manager or director,North America,"Claude Code, Claude, Figma, ChatGPT, Perplexity, Magic Patterns","I hand-code prototypes but not production, I review or inspect code but don't write it, I use AI or no-code to generate code","AI-generated coding, Design systems & tokens, Simplifying my stack",About half,"Yes, I build personal tools regularly",Working output I review before shipping,"Engineering team constraints, AI output quality isn't reliable enough, Security or compliance policy",AI is now central — major shift,Honestly not sure,8.0
Startup in-house (2–100),Designer (Individual contributor),Western Europe,"Claude Cowork, Claude Code, Cursor, OpenAI Codex, Nanobanana, Figma, Paper, ChatGPT, Claude, Gemini, Jitter, LottieFiles, Linear, Notion, Google Meet, Loom, Slack, Webflow, Excalidraw","I write production code, I use AI or no-code to generate code",AI-generated coding,Most of it,"Yes, once or twice",Working output I review before shipping,"AI output quality isn't reliable enough, Too many tools, unclear which to commit",AI is now central — major shift,"More valuable, my skills matter more than before",7.0
Startup in-house (2–100),Designer (Individual contributor),South Asia,"v0 (Vercel), Figma, ChatGPT, Claude, Gemini, Grok, Perplexity, Notion, Linear, Google Meet, Framer, FigJam",I use AI or no-code to generate code,"AI-generated coding, No-code tools (not AI), Design systems & tokens",Most of it,"Yes, I build personal tools regularly",Working output I review before shipping,"Too many tools, unclear which to commit, AI output quality isn't reliable enough",AI is now central — major shift,"More valuable, my skills matter more than before",8.0
Startup in-house (2–100),Designer (Individual contributor),Western Europe,"Claude Code, Figma Make, Nanobanana, Figma, ChatGPT, Claude, Gemini, Jira, Notion, Asana, FigJam",Code isn't part of my workflow,"Design systems & tokens, Canvas design tools, Video, motion, & 3D",None,"No, and I don't plan to",First drafts I heavily edit,Time to learn new tools,"Added new tools, AI included",About the same,7.0
Startup in-house (2–100),Designer (Individual contributor),North America,"Claude Code, Cursor, Midjourney, Nanobanana, Figma, Paper",I use AI or no-code to generate code,"AI-generated coding, Agent workflows & automations, Simplifying my stack",Occasionally,"No, but I want to",Exploration and brainstorming only,"Engineering team constraints, AI output quality isn't reliable enough","Still in flux, changing often","More valuable, my skills matter more than before",9.0
Startup in-house (2–100),Lead or principal,Western Europe,"Claude Code, Claude, Figma",I use AI or no-code to generate code,AI-generated coding,Most of it,"Yes, I build personal tools regularly",Working output I review before shipping,"Too many tools, unclear which to commit, AI output quality isn't reliable enough",AI is now central — major shift,"More valuable, my skills matter more than before",10.0
"Enterprise in-house (1,000+)",Designer (Individual contributor),Western Europe,"Make, Figma, FigJam, Gemini, Glean, ChatGPT","Code isn't part of my workflow, I use AI or no-code to generate code","AI-generated coding, Agent workflows & automations, Simplifying my stack",None,"No, but I want to",Exploration and brainstorming only,"Budget or procurement friction, Security or compliance policy, AI output quality isn't reliable enough","Added new tools, AI included",About the same,7.0
Agency or consulting,Designer (Individual contributor),Western Europe,"Lovable, Figma Make",I use AI or no-code to generate code,AI-generated coding,Occasionally,"Yes, once or twice",First drafts I heavily edit,Time to learn new tools,"Added new tools, AI included","Less secure, AI is changing what's expected of me",3.0
Independent or freelance,Designer (Individual contributor),South America,"Figma, ChatGPT, Claude, Gemini, Linear, Google Meet, Slack",Code isn't part of my workflow,"Image generation, Simplifying my stack, Canvas design tools",None,"No, but I want to",Exploration and brainstorming only,"Time to learn new tools, AI output quality isn't reliable enough, Too many tools, unclear which to commit",Mostly the same,"Less secure, AI is changing what's expected of me",1.0
Mid-size in-house (101–999),Design manager or director,North America,"Zapier, Figma, Penpot, Zeplin, ChatGPT, Copilot (Microsoft), Gemini, Asana, FigJam",Code isn't part of my workflow,"Video, motion, & 3D, Agent workflows & automations, Design systems & tokens",None,"No, but I want to",Exploration and brainstorming only,"Time to learn new tools, Too many tools, unclear which to commit, AI output quality isn't reliable enough",Mostly the same,About the same,2.0
Startup in-house (2–100),Designer (Individual contributor),Southeast Asia,"Claude Cowork, Make, Lovable, Figma",I use AI or no-code to generate code,"AI-generated coding, Agent workflows & automations, Simplifying my stack",Occasionally,"Yes, once or twice",First drafts I heavily edit,"Engineering team constraints, Time to learn new tools","Added new tools, AI included","More valuable, my skills matter more than before",7.0
Independent or freelance,Lead or principal,Northern Europe,"Claude Code, FLORA, Subframe, Claude, Jira, Google Meet, Slack, Microsoft Teams, Excalidraw","I use AI or no-code to generate code, I review or inspect code but don't write it",No major changes planned,None,"Yes, once or twice",Working output I review before shipping,"AI output quality isn't reliable enough, Engineering team constraints",AI is now central — major shift,About the same,7.0
Mid-size in-house (101–999),Designer (Individual contributor),Eastern Europe,"Adobe Firefly, Figma, ChatGPT, Asana, PowerPoint, Microsoft Teams, FigJam",Code isn't part of my workflow,"Image generation, Design systems & tokens, Agent workflows & automations",None,"No, and I don't plan to",Exploration and brainstorming only,"Time to learn new tools, Security or compliance policy, Too many tools, unclear which to commit",Mostly the same,Honestly not sure,5.0
Startup in-house (2–100),Researcher,South America,"Gemini CLI, Midjourney, ChatGPT, Notion, Squarespace",Code isn't part of my workflow,"AI-generated coding, Video, motion, & 3D, Agent workflows & automations",None,"No, but I want to",First drafts I heavily edit,"Budget or procurement friction, Security or compliance policy","Still in flux, changing often","More valuable, my skills matter more than before",5.0
Agency or consulting,Lead or principal,North America,"Claude Code, Claude, Figma, Storybook, Perplexity, Jitter, Rive, LottieFiles, Jira, Google Slides, Slack, Microsoft Teams, Zoom, Google Meet, FigJam, Miro",I use AI or no-code to generate code,"Video, motion, & 3D, Design systems & tokens, AI-generated coding",Occasionally,"No, but I want to",First drafts I heavily edit,"Too many tools, unclear which to commit, AI output quality isn't reliable enough, Engineering team constraints","Added new tools, AI included","Less secure, AI is changing what's expected of me",7.0
Independent or freelance,Design engineer,South Asia,"Excalidraw, Figma, Claude Cowork, Framer, Anything, Obsidian, Notion, Cursor, Google Antigravity, Leonardo AI, Nanobanana, Krea, Runway, Canva",I use AI or no-code to generate code,"AI-generated coding, No-code tools (not AI), Design systems & tokens",About half,"Yes, once or twice",Working output I review before shipping,"Budget or procurement friction, Too many tools, unclear which to commit","Added new tools, AI included","More valuable, my skills matter more than before",9.0
Startup in-house (2–100),Lead or principal,North America,"Claude Code, ChatGPT, vs code, Figma Make, Storybook, Jira, Microsoft Teams, posthog, metabase","I use AI or no-code to generate code, I review or inspect code but don't write it","AI-generated coding, Design systems & tokens, Simplifying my stack",Most of it,"No, but I want to",Working output I review before shipping,"AI output quality isn't reliable enough, Too many tools, unclear which to commit",AI is now central — major shift,About the same,9.0
Independent or freelance,Designer (Individual contributor),Southeast Asia,"OpenClaw, Claude Code, Figma, ChatGPT, Claude, Slack, Notion, Jitter","I use AI or no-code to generate code, I review or inspect code but don't write it","AI-generated coding, Canvas design tools, Agent workflows & automations",Nearly all of it,"Yes, I build personal tools regularly",Working output I review before shipping,"Time to learn new tools, AI output quality isn't reliable enough, Too many tools, unclear which to commit","Still in flux, changing often","Less secure, AI is changing what's expected of me",10.0
Startup in-house (2–100),Designer (Individual contributor),North America,"Claude, Figma, Figma Make, Adobe Firefly, Nanobanana, ChatGPT, After Effects, Asana, Google Slides, PowerPoint, Slack",I review or inspect code but don't write it,"Canvas design tools, Video, motion, & 3D, Agent workflows & automations",Occasionally,"No, but I want to",Exploration and brainstorming only,"AI output quality isn't reliable enough, Too many tools, unclear which to commit, Time to learn new tools","Still in flux, changing often",About the same,6.0
Mid-size in-house (101–999),Designer (Individual contributor),Eastern Europe,"Midjourney, Figma, ChatGPT, Jira, Microsoft Teams, SD, Photoshop",Code isn't part of my workflow,"Video, motion, & 3D, Image generation, No major changes planned",None,"No, and I don't plan to",Exploration and brainstorming only,"Other: The terrible organisation at my company, AI output quality isn't reliable enough, Budget or procurement friction","Still in flux, changing often","Less secure, AI is changing what's expected of me",2.0
"Enterprise in-house (1,000+)",Lead or principal,Northern Europe,"Claude Code, Figma, Claude, Keynote, Principle",I use AI or no-code to generate code,"AI-generated coding, Canvas design tools, Design systems & tokens",Nearly all of it,"Yes, I build personal tools regularly",Exploration and brainstorming only,"Too many tools, unclear which to commit, Time to learn new tools",AI is now central — major shift,"More valuable, my skills matter more than before",9.0
Independent or freelance,Designer (Individual contributor),Eastern Europe,"Figma, ChatGPT, Notion, Adobe Firefly, After Effects, LottieFiles, Keynote, PowerPoint, Google Meet, Microsoft Teams, Webflow","I use AI or no-code to generate code, Code isn't part of my workflow","Image generation, Design systems & tokens, Video, motion, & 3D",None,"No, but I want to",Exploration and brainstorming only,"Time to learn new tools, Engineering team constraints, Too many tools, unclear which to commit",Consolidated into fewer tools,Honestly not sure,4.0
Independent or freelance,Designer (Individual contributor),North America,"Claude Code, Claude, Figma",I hand-code prototypes but not production,"Agent workflows & automations, Manual coding, AI-generated coding",About half,"No, but I want to",Exploration and brainstorming only,"Time to learn new tools, AI output quality isn't reliable enough, Other: Client outreach","Added new tools, AI included","More valuable, my skills matter more than before",7.0
Startup in-house (2–100),Lead or principal,Northern Europe,"Figma, Cursor, Notion, Linear, Granola, Raycast, Slack, Hex, GitHub Copilot, ChatGPT, Claude, Google Meet, Microsoft Teams","I write production code, I hand-code prototypes but not production, I use AI or no-code to generate code, I review or inspect code but don't write it","AI-generated coding, Canvas design tools",Occasionally,"Yes, once or twice",Working output I review before shipping,"Too many tools, unclear which to commit, AI output quality isn't reliable enough","Added new tools, AI included","More valuable, my skills matter more than before",9.0
Independent or freelance,Designer (Individual contributor),North America,"Midjourney, Principle, Claude, After Effects, Rive, Google Slides, Slack, Microsoft Teams, Zoom, Loom, Google Meet, Discord, Webflow","I write production code, I hand-code prototypes but not production","AI-generated coding, Video, motion, & 3D, Image generation",Occasionally,"No, but I want to",First drafts I heavily edit,Time to learn new tools,"Added new tools, AI included",About the same,6.0
Independent or freelance,Designer (Individual contributor),North America,"Claude Cowork, Make, Zapier, v0 (Vercel), Cursor, GitHub Copilot, Figma Make, UX Pilot, Canva, Figma, Monday.com, Notion, Obsidian, Jira, Spline, LottieFiles, Google Slides, Principle, Discord, Google Meet, Slack, UserTesting, Dscout, Lyssna, Useberry, Framer, Webflow, FigJam, Miro",I use AI or no-code to generate code,"AI-generated coding, Video, motion, & 3D, Agent workflows & automations",Occasionally,"No, but I want to",Exploration and brainstorming only,"Time to learn new tools, Too many tools, unclear which to commit, Budget or procurement friction",AI is now central — major shift,"More valuable, my skills matter more than before",8.0
"Student, educator, or between roles",Designer (Individual contributor),North America,"Cursor, Figma, Claude, Claude Cowork, ChatGPT, Canva, Gemini, Notion, Framer, FigJam",I use AI or no-code to generate code,"Agent workflows & automations, Simplifying my stack, AI-generated coding",Occasionally,"Yes, once or twice",Working output I review before shipping,"Time to learn new tools, Budget or procurement friction, Too many tools, unclear which to commit","Still in flux, changing often","Less secure, AI is changing what's expected of me",3.0
"Enterprise in-house (1,000+)",Designer (Individual contributor),Western Europe,"Figma, Copilot (Microsoft), Claude, ChatGPT, Microsoft Teams",Code isn't part of my workflow,No major changes planned,None,"No, but I want to",Exploration and brainstorming only,"Security or compliance policy, AI output quality isn't reliable enough, Too many tools, unclear which to commit",Mostly the same,About the same,3.0
"Enterprise in-house (1,000+)",Design manager or director,Southeast Asia,"Figma, Cursor, Claude, Lovable",I use AI or no-code to generate code,"AI-generated coding, Canvas design tools, Simplifying my stack",Occasionally,"Yes, once or twice",First drafts I heavily edit,"Security or compliance policy, AI output quality isn't reliable enough","Added new tools, AI included",About the same,3.0
Startup in-house (2–100),Design manager or director,North America,"Figma, Claude Code, Cursor, Jira",I use AI or no-code to generate code,"AI-generated coding, Design systems & tokens, Agent workflows & automations",Most of it,"Yes, once or twice",Exploration and brainstorming only,"Time to learn new tools, Engineering team constraints",AI is now central — major shift,"More valuable, my skills matter more than before",6.0
Startup in-house (2–100),Designer (Individual contributor),North America,"Figma Make, Figma, Mobbin, Jira, Slack","I use AI or no-code to generate code, Code isn't part of my workflow","Canvas design tools, Design systems & tokens, Simplifying my stack",None,"No, but I want to",First drafts I heavily edit,"Time to learn new tools, Security or compliance policy, Too many tools, unclear which to commit","Added new tools, AI included","Less secure, AI is changing what's expected of me",4.0
Mid-size in-house (101–999),Designer (Individual contributor),North America,"Figma Make, Figma, Copilot (Microsoft), Jira, Microsoft Teams, Webflow, Miro, FigJam",Code isn't part of my workflow,"Design systems & tokens, Simplifying my stack, AI-generated coding",None,"No, but I want to",First drafts I heavily edit,Engineering team constraints,"Added new tools, AI included",About the same,4.0
Independent or freelance,Designer (Individual contributor),Western Europe,"Figma, Canva, ChatGPT, Notion, Google Slides, Slack, Google Meet, Loom, Zoom, FigJam, Miro",Code isn't part of my workflow,"Video, motion, & 3D, Design systems & tokens, No-code tools (not AI)",None,"No, but I want to",Exploration and brainstorming only,"Time to learn new tools, AI output quality isn't reliable enough, Budget or procurement friction",Mostly the same,Honestly not sure,4.0
Mid-size in-house (101–999),Lead or principal,North America,"Claude, Gemini, ChatGPT, Replit, Cursor, Perplexity","I use AI or no-code to generate code, I review or inspect code but don't write it","AI-generated coding, Agent workflows & automations, Design systems & tokens",Nearly all of it,"Yes, I build personal tools regularly",First drafts I heavily edit,"Budget or procurement friction, Time to learn new tools",AI is now central — major shift,Honestly not sure,8.0
Startup in-house (2–100),"Non-designer who designs (e.g. PM, founder)",North America,"Claude Code, Cursor, Figma Make, Figma, Storybook, Linear, Discord, Google Meet, Framer, FigJam, Miro","I use AI or no-code to generate code, I hand-code prototypes but not production","AI-generated coding, Agent workflows & automations",Nearly all of it,"Yes, I build personal tools regularly",First drafts I heavily edit,"AI output quality isn't reliable enough, Budget or procurement friction, Time to learn new tools",AI is now central — major shift,"More valuable, my skills matter more than before",10.0
Startup in-house (2–100),Designer (Individual contributor),South Asia,"Claude Code, Figma, Paper, Claude, Linear, Obsidian, Google Meet, Slack","I hand-code prototypes but not production, I use AI or no-code to generate code","AI-generated coding, Agent workflows & automations, Design systems & tokens",Most of it,"Yes, once or twice",First drafts I heavily edit,"Budget or procurement friction, Time to learn new tools",AI is now central — major shift,Honestly not sure,9.0
Startup in-house (2–100),Lead or principal,Southern Africa,"Figma, Cursor, Claude",I use AI or no-code to generate code,AI-generated coding,Nearly all of it,"Yes, once or twice",Working output I review before shipping,"AI output quality isn't reliable enough, Too many tools, unclear which to commit","Added new tools, AI included",Honestly not sure,7.0
Independent or freelance,Designer (Individual contributor),Southern Europe,"Nanobanana, Canva, Figma, ChatGPT, Google Meet, Slack, Microsoft Teams, photoshop, illustrator","I review or inspect code but don't write it, Code isn't part of my workflow",Image generation,None,"No, and I don't plan to",Working output I review before shipping,AI output quality isn't reliable enough,"Added new tools, AI included","Less secure, AI is changing what's expected of me",7.0
Agency or consulting,Design engineer,Western Europe,"Claude Code, MagicPath, Figma, Webflow, Framer, v0 (Vercel), Nanobanana, Paper, Claude, Obsidian",I use AI or no-code to generate code,"AI-generated coding, No-code tools (not AI), Canvas design tools",Nearly all of it,"Yes, I build personal tools regularly",Full trust without oversight,AI output quality isn't reliable enough,AI is now central — major shift,About the same,6.0
"Enterprise in-house (1,000+)",Lead or principal,North America,"Bolt.new, Make, Lovable, Replit, Magic Patterns, Figma Make, Uizard, Figma","I use AI or no-code to generate code, I hand-code prototypes but not production","AI-generated coding, No-code tools (not AI), Design systems & tokens",Most of it,"Yes, once or twice",Exploration and brainstorming only,"Too many tools, unclear which to commit, AI output quality isn't reliable enough","Added new tools, AI included",Honestly not sure,5.0
"Enterprise in-house (1,000+)",Lead or principal,North America,"Claude Cowork, Bolt.new, Base44, Lovable, Magic Patterns, Replit, v0 (Vercel), Claude Code, Google Antigravity, OpenAI Codex, Figma Make, Google Stitch, DALL-E, Midjourney, Nanobanana, Runway, Figma, Paper, Pencil.dev, Storybook, Subframe, ChatGPT, Claude, Gemini, Perplexity, Airtable, Asana, Jira, Linear, Notion, Google Slides, Pitch, PowerPoint, Discord, Google Meet, Loom, Zoom, Slack, Microsoft Teams, FigJam, magic patterns, illustrator, photoshop","I hand-code prototypes but not production, I use AI or no-code to generate code, I review or inspect code but don't write it","AI-generated coding, Design systems & tokens, Agent workflows & automations",Most of it,"Yes, I build personal tools regularly",First drafts I heavily edit,"Budget or procurement friction, AI output quality isn't reliable enough, Security or compliance policy","Still in flux, changing often","Less secure, AI is changing what's expected of me",8.0
Startup in-house (2–100),Designer (Individual contributor),West Africa,"Figma, Figma Make, Claude, Google Stitch, Canva, ChatGPT, Copilot (Microsoft), Jitter, LottieFiles, Spline, Trello, Google Meet, Microsoft Teams, Framer, FigJam",I use AI or no-code to generate code,"Video, motion, & 3D, Canvas design tools, No-code tools (not AI)",Most of it,"No, but I want to",First drafts I heavily edit,"Time to learn new tools, AI output quality isn't reliable enough, Too many tools, unclear which to commit",AI is now central — major shift,"Less secure, AI is changing what's expected of me",8.0
Independent or freelance,Designer (Individual contributor),Western Europe,"Claude Cowork, Webflow, Figma Make, Figma, ClickUp","I use AI or no-code to generate code, I review or inspect code but don't write it","Design systems & tokens, AI-generated coding, No-code tools (not AI)",None,"No, but I want to",First drafts I heavily edit,"Time to learn new tools, AI output quality isn't reliable enough, Too many tools, unclear which to commit",AI is now central — major shift,"Less secure, AI is changing what's expected of me",7.0
"Student, educator, or between roles",Design manager or director,East Africa,Claude Cowork,I use AI or no-code to generate code,"Video, motion, & 3D",About half,"Yes, once or twice",Ships with minor tweaks,AI output quality isn't reliable enough,"Still in flux, changing often","Less secure, AI is changing what's expected of me",7.0
"Student, educator, or between roles",Designer (Individual contributor),North America,"Adobe Firefly, ChatGPT, Claude, Copilot (Microsoft), Gemini, After Effects, PowerPoint, Keynote, Discord, Slack, Zoom",Code isn't part of my workflow,"Canvas design tools, Image generation, Agent workflows & automations",None,"No, and I don't plan to",Exploration and brainstorming only,"Time to learn new tools, Too many tools, unclear which to commit, AI output quality isn't reliable enough","Still in flux, changing often",About the same,3.0
Agency or consulting,Designer (Individual contributor),Northern Europe,"GitHub Copilot, MagicPath, Figma, Claude, Copilot (Microsoft), Gemini, SVGator, Jira, PowerPoint, Microsoft Teams","I use AI or no-code to generate code, Code isn't part of my workflow",AI-generated coding,None,"Yes, I build personal tools regularly",Exploration and brainstorming only,"AI output quality isn't reliable enough, Too many tools, unclear which to commit",Consolidated into fewer tools,"Less secure, AI is changing what's expected of me",4.0
Startup in-house (2–100),"Non-designer who designs (e.g. PM, founder)",East Asia,Claude Code,"I write production code, I use AI or no-code to generate code, I review or inspect code but don't write it, I hand-code prototypes but not production","AI-generated coding, Agent workflows & automations, Simplifying my stack",Most of it,"Yes, I build personal tools regularly",Working output I review before shipping,"Security or compliance policy, Too many tools, unclear which to commit, Other: customer feedback speed",AI is now central — major shift,"More valuable, my skills matter more than before",5.0
"Enterprise in-house (1,000+)",Design manager or director,Northern Europe,"Claude Code, Figma",I use AI or no-code to generate code,Design systems & tokens,About half,"Yes, I build personal tools regularly",Working output I review before shipping,"AI output quality isn't reliable enough, Security or compliance policy, Time to learn new tools","Added new tools, AI included",About the same,6.0
Startup in-house (2–100),"Non-designer who designs (e.g. PM, founder)",North America,"Cursor, Claude Code, Zed, Paper, ChatGPT, Claude, Linear, Discord, Slack, Zoom, tldraw",I write production code,"Canvas design tools, AI-generated coding, Video, motion, & 3D",Occasionally,"Yes, I build personal tools regularly",Working output I review before shipping,Time to learn new tools,AI is now central — major shift,About the same,6.0
Independent or freelance,Lead or principal,North America,"Lovable, Cursor, Claude",I use AI or no-code to generate code,AI-generated coding,Nearly all of it,"Yes, once or twice",Working output I review before shipping,"Time to learn new tools, Budget or procurement friction",AI is now central — major shift,"More valuable, my skills matter more than before",5.0
"Enterprise in-house (1,000+)",Designer (Individual contributor),South America,Figma,Code isn't part of my workflow,"Manual coding, Image generation, Design systems & tokens",None,"Yes, once or twice",First drafts I heavily edit,"AI output quality isn't reliable enough, Too many tools, unclear which to commit","Added new tools, AI included","Less secure, AI is changing what's expected of me",8.0
Mid-size in-house (101–999),Design engineer,North America,"Claude Code, Webflow, Framer, Microsoft Teams, Jira, ChatGPT, Figma, Cursor, Google Firebase Studio, OpenClaw","I write production code, I use AI or no-code to generate code","AI-generated coding, Design systems & tokens, Simplifying my stack",About half,"Yes, I build personal tools regularly",Working output I review before shipping,Security or compliance policy,"Added new tools, AI included",Honestly not sure,9.0
Mid-size in-house (101–999),Design manager or director,North America,"Claude Code, Cursor, FLORA, Figma, Penpot, Claude, Rive, Notion, Obsidian, Google Slides, Slack, Carrd, Framer, Miro, Whimsical, OpenClaw","I hand-code prototypes but not production, I use AI or no-code to generate code","AI-generated coding, Agent workflows & automations, Simplifying my stack",Most of it,"Yes, I build personal tools regularly",First drafts I heavily edit,"AI output quality isn't reliable enough, Time to learn new tools","Still in flux, changing often","More valuable, my skills matter more than before",9.0
Mid-size in-house (101–999),Lead or principal,Western Europe,"Figma, ChatGPT, Gemini, Jira, Trello, Slack, Google Meet, Miro",I review or inspect code but don't write it,"Video, motion, & 3D, Agent workflows & automations",None,"No, and I don't plan to",First drafts I heavily edit,"Time to learn new tools, Security or compliance policy",Mostly the same,About the same,4.0
Independent or freelance,Designer (Individual contributor),North America,"Claude Code, Cursor, Conductor, Linear, VisualStudioCode, Figma, Vercel, OpenAI Codex, Pencil.dev, Storybook, github, FLORA, ChatGPT, Claude, Posthog","I review or inspect code but don't write it, I use AI or no-code to generate code","Agent workflows & automations, Design systems & tokens, Video, motion, & 3D",Nearly all of it,"Yes, I build personal tools regularly",Working output I review before shipping,"Time to learn new tools, Too many tools, unclear which to commit, Other: Not enough tokens available & don't always understand what i am building even though i will try","Still in flux, changing often","More valuable, my skills matter more than before",10.0
Mid-size in-house (101–999),Lead or principal,Australia & New Zealand,"Figma, Figma Make, Grok",Code isn't part of my workflow,No major changes planned,None,"No, and I don't plan to",First drafts I heavily edit,"Too many tools, unclear which to commit, AI output quality isn't reliable enough, Budget or procurement friction",Mostly the same,About the same,8.0
Startup in-house (2–100),Design engineer,South America,"Cursor, Lovable, Figma, FigJam",I use AI or no-code to generate code,"AI-generated coding, Agent workflows & automations, Design systems & tokens",Most of it,"Yes, I build personal tools regularly",Ships with minor tweaks,"Too many tools, unclear which to commit",AI is now central — major shift,"More valuable, my skills matter more than before",8.0
Startup in-house (2–100),Design engineer,North America,"Subframe, Claude Code","I write production code, I use AI or no-code to generate code","AI-generated coding, Design systems & tokens, Simplifying my stack",Most of it,"Yes, once or twice",Working output I review before shipping,"Time to learn new tools, Engineering team constraints, AI output quality isn't reliable enough",AI is now central — major shift,"More valuable, my skills matter more than before",9.0
Mid-size in-house (101–999),Designer (Individual contributor),Western Europe,"Miro, Figma, ChatGPT, Gemini, NotebookLM, Jira, Google Slides, Google Meet, Slack",Code isn't part of my workflow,"Design systems & tokens, Agent workflows & automations",None,"No, but I want to",First drafts I heavily edit,"Time to learn new tools, Too many tools, unclear which to commit, Security or compliance policy","Added new tools, AI included",Honestly not sure,6.0
